name,link,gender,age,nationality,born,place_of_birth,year,died,category,country
,,,, Physiology or Medicine,https://en.wikipedia.org/wiki/Fritz_Albert_Lipmann,Fritz Albert Lipmann*, 1953,,,
,,,, Chemistry,https://en.wikipedia.org/wiki/Hermann_Staudinger,Hermann Staudinger, 1953,,,
,,,, Physics,https://en.wikipedia.org/wiki/Walther_Bothe,Walther Bothe, 1954,,,
,,,, Physics,https://en.wikipedia.org/wiki/Max_Born,Max Born*, 1954,,,
,,,, Physics,https://en.wikipedia.org/wiki/Polykarp_Kusch,Polykarp Kusch*, 1955,,,
,,,, Physiology or Medicine,https://en.wikipedia.org/wiki/Werner_Forssmann,Werner Forssmann, 1956,,,
,,,, Physics,https://en.wikipedia.org/wiki/Rudolf_M%C3%B6ssbauer,Rudolf Mössbauer, 1961,,,
,,,, Physics,https://en.wikipedia.org/wiki/J._Hans_D._Jensen,J. Hans D. Jensen, 1963,,,
,,,, Physics,https://en.wikipedia.org/wiki/Maria_Goeppert-Mayer,Maria Goeppert-Mayer*, 1963,,,
,,,, Chemistry,https://en.wikipedia.org/wiki/Karl_Ziegler,Karl Ziegler, 1963,,,
,,,, Physiology or Medicine,https://en.wikipedia.org/wiki/Konrad_Emil_Bloch,Konrad Bloch*, 1964,,,
,,,, Physiology or Medicine,https://en.wikipedia.org/wiki/Feodor_Felix_Konrad_Lynen,Feodor Felix Konrad Lynen, 1964,,,
,,,, Literature,https://en.wikipedia.org/wiki/Nelly_Sachs,Nelly Sachs*, 1966,,,
,,,, Physics,https://en.wikipedia.org/wiki/Hans_Albrecht_Bethe,Hans Albrecht Bethe*, 1967,,,
,,,, Chemistry,https://en.wikipedia.org/wiki/Manfred_Eigen,Manfred Eigen, 1967,,,
,,,, Physiology or Medicine,https://en.wikipedia.org/wiki/Max_Delbr%C3%BCck,Max Delbrück*, 1969,,,
,,,, Physiology or Medicine,https://en.wikipedia.org/wiki/Bernard_Katz,Bernard Katz*, 1970,,,
,,,, Peace,https://en.wikipedia.org/wiki/Willy_Brandt,Willy Brandt, 1971,,,
,,,, Chemistry,https://en.wikipedia.org/wiki/Gerhard_Herzberg,Gerhard Herzberg*, 1971,,,
,,,, Literature,https://en.wikipedia.org/wiki/Heinrich_B%C3%B6ll,Heinrich Böll, 1972,,,
,,,, Physiology or Medicine,https://en.wikipedia.org/wiki/Karl_Ritter_von_Frisch,Karl Ritter von Frisch, 1973,,,
,,,, Chemistry,https://en.wikipedia.org/wiki/Ernst_Otto_Fischer,Ernst Otto Fischer, 1973,,,
,,,, Peace,https://en.wikipedia.org/wiki/Henry_Kissinger,Henry Kissinger*, 1978,,,
,,,, Physics,https://en.wikipedia.org/wiki/Arno_Penzias,Arno Penzias*, 1978,,,
,,,, Chemistry,https://en.wikipedia.org/wiki/Georg_Wittig,Georg Wittig, 1979,,,
,,,, Physiology or Medicine,https://en.wikipedia.org/wiki/Georges_J.F._K%C3%B6hler,Georges J.F. Köhler*, 1984,,,
,,,, Physics,https://en.wikipedia.org/wiki/Klaus_von_Klitzing,Klaus von Klitzing, 1985,,,
,,,, Physics,https://en.wikipedia.org/wiki/Gerd_Binnig,Gerd Binnig, 1986,,,
,,,, Physics,https://en.wikipedia.org/wiki/Ernst_Ruska,Ernst Ruska, 1986,,,
,,,, Chemistry,https://en.wikipedia.org/wiki/John_Polanyi,John Polanyi*, 1986,,,
,,,, Physics,https://en.wikipedia.org/wiki/J._Georg_Bednorz,J. Georg Bednorz, 1987,,,
,,,, Physics,https://en.wikipedia.org/wiki/Jack_Steinberger,Jack Steinberger*, 1988,,,
,,,, Chemistry,https://en.wikipedia.org/wiki/Hartmut_Michel,Hartmut Michel, 1988,,,
,,,, Chemistry,https://en.wikipedia.org/wiki/Robert_Huber,Robert Huber, 1988,,,
,,,, Chemistry,https://en.wikipedia.org/wiki/Johann_Deisenhofer,Johann Deisenhofer, 1988,,,
,,,, Physics,https://en.wikipedia.org/wiki/Wolfgang_Paul,Wolfgang Paul, 1989,,,
,,,, Physics,https://en.wikipedia.org/wiki/Hans_G._Dehmelt,Hans G. Dehmelt*, 1989,,,
,,,, Physiology or Medicine,https://en.wikipedia.org/wiki/Erwin_Neher,Erwin Neher, 1991,,,
,,,, Physiology or Medicine,https://en.wikipedia.org/wiki/Bert_Sakmann,Bert Sakmann, 1991,,,
,,,, Economics,https://en.wikipedia.org/wiki/Reinhard_Selten,Reinhard Selten, 1994,,,
,,,, Physiology or Medicine,https://en.wikipedia.org/wiki/Christiane_N%C3%BCsslein-Volhard,Christiane Nüsslein-Volhard, 1995,,,
,,,, Chemistry,https://en.wikipedia.org/wiki/Paul_J._Crutzen,Paul J. Crutzen, 1995,,,
,,,, Physics,https://en.wikipedia.org/wiki/Horst_Ludwig_St%C3%B6rmer,Horst L. Störmer, 1998,,,
,,,, Literature,https://en.wikipedia.org/wiki/G%C3%BCnter_Grass,Günter Grass, 1999,,,
,,,, Physiology or Medicine,https://en.wikipedia.org/wiki/G%C3%BCnter_Blobel,Günter Blobel*, 1999,,,
,,,, Physics,https://en.wikipedia.org/wiki/Herbert_Kroemer,Herbert Kroemer, 2000,,,
,,,, Physics,https://en.wikipedia.org/wiki/Wolfgang_Ketterle,Wolfgang Ketterle, 2001,,,
,,,, Physics,https://en.wikipedia.org/wiki/Theodor_W._H%C3%A4nsch,Theodor W. Hänsch, 2005,,,
,,,, Physics,https://en.wikipedia.org/wiki/Peter_Gr%C3%BCnberg,Peter Grünberg, 2007,,,
,,,, Chemistry,https://en.wikipedia.org/wiki/Gerhard_Ertl,Gerhard Ertl, 2007,,,
,,,, Physiology or Medicine,https://en.wikipedia.org/wiki/Harald_zur_Hausen,Harald zur Hausen, 2008,,,
,,,, Literature,https://en.wikipedia.org/wiki/Herta_M%C3%BCller,Herta Müller, 2009,,,
,,,, Physiology or Medicine,https://en.wikipedia.org/wiki/Thomas_C._S%C3%BCdhof,Thomas C. Südhof, 2013,,,
,,,, Chemistry,https://en.wikipedia.org/wiki/Stefan_Hell,Stefan Hell, 2014,,,
,,,, Literature,https://en.wikipedia.org/wiki/Sully_Prudhomme,Sully Prudhomme, 1901,,,
,,,, Peace,https://en.wikipedia.org/wiki/Fr%C3%A9d%C3%A9ric_Passy,Frédéric Passy, 1901,,,
,,,, Peace,https://en.wikipedia.org/wiki/Henry_Dunant,Henry Dunant, 1901 (Dunant was Swiss),,,
,,,, Physics,https://en.wikipedia.org/wiki/Marie_Curie,Marie Curie, 1903,,,
,,,, Physics,https://en.wikipedia.org/wiki/Pierre_Curie,Pierre Curie, 1903,,,
,,,, Physics,https://en.wikipedia.org/wiki/Henri_Becquerel,Antoine Henri Becquerel, 1903,,,
,,,, Literature,https://en.wikipedia.org/wiki/Fr%C3%A9d%C3%A9ric_Mistral,Frédéric Mistral, 1904,,,
,,,, Chemistry,https://en.wikipedia.org/wiki/Henri_Moissan,Henri Moissan, 1906,,,
,,,, Peace,https://en.wikipedia.org/wiki/Louis_Renault_(jurist),Louis Renault, 1907,,,
,,,, Physiology or Medicine,https://en.wikipedia.org/wiki/Charles_Louis_Alphonse_Laveran,Charles Louis Alphonse Laveran, 1907,,,
,,,, Physics,https://en.wikipedia.org/wiki/Gabriel_Lippmann,Gabriel Lippmann, 1908,,,
,,,, Peace,https://en.wikipedia.org/wiki/Paul-Henri-Benjamin_d%27Estournelles_de_Constant,Paul-Henri-Benjamin d'Estournelles de Constant, 1909,,,
,,,, Chemistry,https://en.wikipedia.org/wiki/Marie_Curie,Marie Curie, 1911,,,
,,,, Chemistry,https://en.wikipedia.org/wiki/Victor_Grignard,Victor Grignard, 1912,,,
,,,, Chemistry,https://en.wikipedia.org/wiki/Paul_Sabatier_(chemist),Paul Sabatier, 1912,,,
,,,, Medicine,https://en.wikipedia.org/wiki/Alexis_Carrel,Alexis Carrel, 1912,,,
,,,, Physiology or Medicine,https://en.wikipedia.org/wiki/Charles_Richet,Charles Richet, 1913,,,
